province_state,confirmed,recovered,deaths,active,incident_rate,date,n,s(t),i(t),r(t)
new jersey,547247,57168.0,19225,470854.0,6161.171963220782,2021-01-05,8882190.0,8334943.0,470854.0,76393.0
new mexico,147315,69903.0,2574,74838.0,7025.608669090327,2021-01-05,2096829.0,1949514.0,74838.0,72477.0
new york,1035139,104939.0,38417,891783.0,5321.077205350733,2021-01-05,19453561.0,18418422.0,891783.0,143356.0
north carolina,570111,487090.0,6941,76080.0,5435.797424963415,2021-01-05,10488084.0,9917973.0,76080.0,494031.0
north dakota,92801,90013.0,1319,1908.0,12235.22495544982,2021-01-05,758473.9989489489,665672.9989489489,1908.0,91332.0
northern mariana islands,122,29.0,2,91.0,221.2389380530973,2021-01-05,55144.00000000001,55022.00000000001,91.0,31.0
ohio,727423,585091.0,14216,128115.0,6223.088176164119,2021-01-05,11689099.999999998,10961676.999999998,128115.0,599307.0
oklahoma,307091,267573.0,2552,36966.0,7760.759429371607,2021-01-05,3956971.0,3649880.0,36966.0,270125.0
oregon,118453,5870.0,1506,111077.0,2808.4491754701635,2021-01-05,4217737.0,4099284.0,111077.0,7376.0
pennsylvania,673448,465567.0,16432,191449.0,5260.495068383514,2021-01-05,12801989.000000002,12128541.000000002,191449.0,481999.0
puerto rico,78805,69699.0,1555,7551.0,2467.5188042436125,2021-01-05,3193694.0,3114889.0,7551.0,71254.0
rhode island,92708,5636.0,1992,85080.0,8751.313291691878,2021-01-05,1059361.0,966653.0,85080.0,7628.0
south carolina,325472,156090.0,5484,163898.0,6321.423174796658,2021-01-05,5148714.0,4823242.0,163898.0,161574.0
south dakota,100643,93099.0,1513,6031.0,11376.473872983828,2021-01-05,884659.0,784016.0,6031.0,94612.0
tennessee,606892,530494.0,7168,69411.0,8889.405951583603,2021-01-05,6827137.868440863,6220245.868440863,69411.0,537662.0
texas,1861780,1464746.0,28676,365517.0,6410.679503064591,2021-01-05,29041851.165855136,27180071.165855136,365517.0,1493422.0
utah,285633,234298.0,1305,50030.0,8909.44298085003,2021-01-05,3205958.0,2920325.0,50030.0,235603.0
vermont,7873,5361.0,144,2368.0,1261.7209598246122,2021-01-05,623989.0,616116.0,2368.0,5505.0
virgin islands,2055,1920.0,24,111.0,1915.76238952903,2021-01-05,107268.0,105213.0,111.0,1944.0
virginia,367536,31561.0,5132,330843.0,4305.959602456512,2021-01-05,8535519.0,8167983.0,330843.0,36693.0
washington,256435,,3482,,3367.5456766102952,2021-01-05,7614893.0,7358458.0,,
west virginia,91886,63128.0,1396,27362.0,5127.1463780593895,2021-01-05,1792146.9999999998,1700260.9999999998,27362.0,64524.0
wisconsin,527871,456529.0,5269,66073.0,9066.156868416198,2021-01-05,5822434.000000001,5294563.000000001,66073.0,461798.0
wyoming,45257,43420.0,438,1399.0,7819.662415616863,2021-01-05,578759.0,533502.0,1399.0,43858.0
alabama,379593,202137.0,4886,172570.0,7741.763771915602,2021-01-06,4903185.0,4523592.0,172570.0,207023.0
alaska,48582,7165.0,218,41199.0,6641.013198094444,2021-01-06,731545.0,682963.0,41199.0,7383.0
